Referencia,Municipio,Colonia,Victimas,Año,Mes,Latitud,Longitud,Link
93,Tlajomulco de Zúñiga,Chulavista,1,2022,FEBRERO,20.49720554788303,-103.36554783916291,
94,Tlajomulco de Zúñiga,Chulavista,17,2022,FEBRERO,20.49815805162842,-103.3639855007025,
95,Tlajomulco de Zúñiga,Chulavista,3,2022,FEBRERO,20.49755402486305,-103.36479861365588,
96,Tlajomulco de Zúñiga,Chulavista,4,2022,MARZO,20.49735655457437,-103.36384030196082,
97,Tlajomulco de Zúñiga,Chulavista,1,2022,MARZO,20.4978444223464,-103.36471730236052,
98,Tlajomulco de Zúñiga,Chulavista,4,2022,MARZO,20.49418541405617,-103.36529809732724,
99,Tlajomulco de Zúñiga,San Lucas Evangelista,8,2022,MARZO,20.40797801714859,-103.35477409253068,
100,Tlajomulco de Zúñiga,Chulavista,4,2022,MARZO,20.494590518545447,-103.36485959712756,
101,Tlajomulco de Zúñiga,Chulavista,6,2022,MARZO,20.494629722205698,-103.36401889641324,
102,Tlajomulco de Zúñiga,Chulavista,8,2022,ABRIL,20.49491903602125,-103.36377250187428,
103,San Pedro Tlaquepaque,Felipe Angeles,14,2022,ABRIL,20.598205792592907,-103.32676670724884,
104,Tlajomulco de Zúñiga,Villas Terranova,2,2022,ABRIL,20.49894648079573,-103.40097488014464,
105,Tlajomulco de Zúñiga,Chulavista,2,2022,ABRIL,20.50586658938509,-103.365227973507,
106,Guadalajara,San Joaquin,2,2022,ABRIL,20.67131626300162,-103.27569740582658,
107,Tlajomulco de Zúñiga,Chulavista,12,2022,ABRIL,20.505786366539184,-103.36534830777586,
108,Tlajomulco de Zúñiga,Villas Terranova,2,2022,ABRIL,20.49788441621796,-103.40851679417544,
109,Puerto Vallarta,Palma Real,2,2022,ABRIL,20.67953042759921,-105.18820905865084,
110,El Salto,Tototlán,4,2022,ABRIL,20.544847729738667,-102.78688715190157,
111,Tlajomulco de Zúñiga,Fracc. Real del Valle,3,2022,ABRIL,20.542028469725597,-103.3714595695728,
112,Tlajomulco de Zúñiga,Chulavista,4,2022,MAYO,20.494267225398342,-103.36254337327124,
113,Tlajomulco de Zúñiga,SEC 12122,2,2022,MAYO,20.46855493217549,-103.44039198254752,
114,Tlajomulco de Zúñiga,Lomas del Sur,4,2022,JUNIO,20.48828255950293,-103.40622578240423,
115,Zapopan,El Centinela,2,2022,JUNIO,20.779825460637262,-103.38978659110488,
116,San Pedro Tlaquepaque,Las Juntas,2,2022,JULIO,20.6052028086875,-103.33258960099532,
117,El Salto,La Azucena,6,2022,JULIO,20.50394276949678,-103.20399391122474,
118,Zapopan,Indigena de Mezquitan,27,2022,JULIO,20.7422127765206,-103.33370828714057,
119,Zapopan,La Higuera,27,2022,JULIO,20.75369289045811,-103.32451265818756,
120,Zapopan,El Colli Urbano,5,2022,AGOSTO,20.64317900636348,-103.4292316807496,
121,Zapopan,Los Cántaros,6,2022,AGOSTO,20.499521821804866,-103.33950795609134,
122,Tlajomulco de Zúñiga,Cerro del Cuatro,5,2022,SEPTIEMBRE,20.60373125806972,-103.36376907124922,
123,San Pedro Tlaquepaque,San Miguel Cuyutlán,3,2022,SEPTIEMBRE,20.404050829052203,-103.39702967270976,
124,Tlajomulco de Zúñiga,San Antonio Juanacaxtle,2,2022,SEPTIEMBRE,20.53685382548269,-103.15371759960313,
125,Juanacatlán,San Antonio Juanacaxtle,2,2022,OCTUBRE,20.53685382548269,-103.15371759960313,
126,Tonalá,San Jose del Castillo,5,2022,OCTUBRE,20.50840545282221,-103.2385911413976,
127,San Pedro Tlaquepaque,El Tapatio,8,2022,OCTUBRE,20.60206260331788,-103.3263933200692,
128,Zapopan,Arroyo Hondo Seccion II,5,2022,OCTUBRE,20.74223735027341,-103.34183755706982,
129,El Salto,San Jose del Quince,14,2022,NOVIEMBRE,20.54066918311869,-103.28739032933656,
130,Tlajomulco de Zúñiga,Teopantli CalpullI,61,2023,ENERO,20.58170714774348,-103.57681769836236,
131,Tlajomulco de Zúñiga,Teopantli CalpullI,23,2023,ENERO,20.582224280913863,-103.57341151454672,
132,Tlajomulco de Zúñiga,Chulavista,2,2023,FEBRERO,20.492302866877065,-103.35187166435226,
133,Zapopan,El Centinela,6,2023,FEBRERO,20.77898157733681,-103.38959710372455,
134,Tlajomulco de Zúñiga,Cuxpala,50,2023,FEBRERO,20.568507114218004,-103.64886316314043,
135,Tlajomulco de Zúñiga,Paseos del Valle,2,2023,MARZO,20.525048505349293,-103.32595984496136,
136,Tlajomulco de Zúñiga,Villa Fontana Aqua,2,2023,MARZO,20.50752496904367,-103.34539026195006,
137,Tlajomulco de Zúñiga,Villas de San Sebastián,2,2023,ABRIL,20.52281065943714,-103.43663706914953,
138,Zapopan,Lomas del Refugio,5,2023,MAYO,20.74307874509399,-103.33400873546223,
139,Tlajomulco de Zúñiga,Lomas de San Agustín,57,2023,MAYO,20.519021414013825,-103.47060544027346,
140,Guadalajara,Colinas de Huentitan,3,2023,MAYO,20.72839369530139,-103.30278768218872,
141,Tlajomulco de Zúñiga,Volcán Santa Cruz,8,2023,MAYO,20.52741505996164,-103.5062076968414,
142,Tlajomulco de Zúñiga,San Lucas Evangelista,11,2023,JULIO,20.393705107426,-103.36620123297284,
143,Zapopan,Lomas del Refugio,7,2023,AGOSTO,20.747511023269404,-103.33375846854508,
144,Tlajomulco de Zúñiga,La Arbolada,4,2023,AGOSTO,20.521653813381903,-103.3701442137881,
145,Zapopan,Miguel Hidalgo,7,2023,SEPTIEMBRE,20.74760091506001,-103.33387287627856,
146,Zapopan,Santa Ana Tepetitlan,6,2023,SEPTIEMBRE,20.61868791535034,-103.45986847878396,
147,Zapopan,Arenales Tapatíos,2,2023,OCTUBRE,20.636950579447248,-103.46096851878168,
148,Guadalajara,San Antonio,8,2023,OCTUBRE,20.658121809492904,-103.31075025614042,
149,Zapopan,Emiliano Zapata,27,2023,NOVIEMBRE,20.652000995750736,-103.48319539844616,
150,Guadalajara,Las Conchas,3,2023,NOVIEMBRE,20.66342133914815,-103.34392441286434,
151,Tlajomulco de Zúñiga,Lomas del Mirador,2,2023,DICIEMBRE,20.492099844224946,-103.34417365828374,
152,Zapopan,Mision de Santa Ana,4,2024,FEBRERO,20.61501115453756,-103.4586695301452,
153,El Salto,La Pedrera,13,2024,MARZO,20.550025016646487,-103.31155415923077,
154,Tlajomulco de Zúñiga,Hacienda Santa Fe,2,2024,ABRIL,20.52318385925807,-103.37325573507702,
155,San Pedro Tlaquepaque,Terralta,8,2024,ABRIL,20.605710656938985,-103.3631501866524,
156,San Pedro Tlaquepaque,Las Huertas,5,2024,JUNIO,20.618945433057416,-103.30735625089024,
157,Tlajomulco de Zúñiga,Chulavista,7,2024,JUNIO,20.491897125682144,-103.3516352385092,
158,Zapopan,Emiliano Zapata,2,2024,JUNIO,20.651152364679643,-103.48417701735384,
159,Zapopan,Las Cañadas,3,2024,JUNIO,20.758025607056755,-103.3534894930062,
160,Ixtlahuacán de los Membrillos,Los Olivos,11,2024,JULIO,20.439964141361475,-103.23205106769664,
161,Guadalajara,Del Fresno,3,2024,JULIO,20.66443538901268,-103.37349339417788,
162,Zapopan,Paraisos del Colli,4,2024,JULIO,20.64665794860495,-103.45295349864556,
163,Tlajomulco de Zúñiga,Lomas del Sur,3,2024,JULIO,20.490493719048715,-103.41143434883462,
164,Zapopan,Paraisos del Colli,6,2024,JULIO,20.645691755598232,-103.452550923668,
165,Ixtlahuacán de los Membrillos,Los Olivos,2,2024,JULIO,20.438772867495768,-103.2316529325316,
166,Zapopan,Paraisos del Colli,21,2024,JULIO,20.645854674059933,-103.45269755028356,
167,Zapopan,Paraisos del Colli,2,2024,SEPTIEMBRE,20.645793579636795,-103.45281159320672,
